% time spent exploring,episodes,mean 100 episode reward,steps
99,10,66.1,8
99,20,66.5,18
99,30,145.4,28
99,40,119.8,38
99,50,108.4,48
99,60,137.4,58
99,70,139.2,68
99,80,133.1,78
99,90,122.7,88
99,100,109.8,98
99,110,112.5,108
99,120,110.5,118
99,130,86.3,128
99,140,81.5,138
99,150,78.4,148
99,160,56.6,158
99,170,51.1,168
99,180,48.3,178
99,190,48.9,188
99,200,52.7,198
99,210,47.0,208
99,220,49.8,218
99,230,50.3,228
99,240,56.1,238
99,250,77.6,248
99,260,77.9,258
99,270,74.7,268
99,280,98.8,278
99,290,102.7,288
99,300,108.5,298
99,310,110.6,308
99,320,112.8,318
99,330,107.6,328
99,340,115.0,338
99,350,114.2,348
99,360,114.3,358
99,370,135.6,368
99,380,129.5,378
99,390,122.3,388
99,400,118.6,398
99,410,112.7,408
99,420,104.4,418
99,430,109.2,428
99,440,115.4,438
99,450,114.3,448
99,460,112.5,458
99,470,107.3,468
99,480,92.3,478
99,490,91.6,488
99,500,88.8,498
99,510,91.6,508
99,520,89.6,518
99,530,111.4,528
99,540,118.5,538
99,550,99.1,548
99,560,102.5,558
99,570,88.4,568
99,580,80.2,578
99,590,90.4,588
99,600,115.4,598
99,610,134.2,608
99,620,135.9,618
99,630,111.2,628
99,640,84.7,638
99,650,88.8,648
99,660,78.0,658
99,670,77.2,668
99,680,75.7,678
99,690,69.0,688
99,700,47.9,698
99,710,30.6,708
99,720,81.8,718
99,730,125.6,728
99,740,124.6,738
99,750,123.1,748
99,760,149.7,758
99,770,146.9,768
99,780,146.7,778
99,790,149.0,788
99,800,143.1,798
99,810,150.3,808
99,820,97.7,818
99,830,76.0,828
99,840,85.5,838
99,850,84.1,848
99,860,65.4,858
99,870,62.7,868
99,880,74.2,878
99,890,71.6,888
99,900,73.8,898
99,910,64.4,908
99,920,99.0,918
99,930,79.1,928
99,940,76.6,938
99,950,73.8,948
99,960,68.3,958
99,970,94.8,968
99,980,99.1,978
99,990,118.9,988
99,1000,117.4,998
99,1010,121.3,1008
99,1020,93.9,1018
99,1030,97.9,1028
99,1040,98.3,1038
99,1050,118.4,1048
99,1060,118.7,1058
99,1070,98.4,1068
99,1080,84.4,1078
99,1090,86.8,1088
99,1100,87.9,1098
99,1110,87.2,1108
99,1120,86.9,1118
99,1130,87.6,1128
99,1140,83.7,1138
99,1150,66.1,1148
99,1160,75.0,1158
99,1170,67.5,1168
99,1180,74.6,1178
99,1190,46.0,1188
99,1200,46.2,1198
99,1210,46.9,1208
99,1220,50.5,1218
99,1230,69.9,1228
99,1240,76.6,1238
99,1250,85.0,1248
99,1260,108.0,1258
99,1270,108.6,1268
99,1280,109.8,1278
99,1290,133.6,1288
99,1300,156.9,1298
99,1310,182.1,1308
99,1320,199.3,1318
99,1330,199.2,1328
99,1340,191.1,1338
99,1350,180.5,1348
99,1360,148.8,1358
99,1370,148.5,1368
99,1380,142.7,1378
99,1390,126.2,1388
99,1400,128.7,1398
99,1410,101.2,1408
99,1420,108.1,1418
99,1430,92.6,1428
99,1440,137.7,1438
99,1450,144.6,1448
99,1460,150.8,1458
99,1470,152.7,1468
99,1480,155.8,1478
99,1490,174.3,1488
99,1500,148.9,1498
99,1510,148.9,1508
99,1520,122.6,1518
99,1530,135.1,1528
99,1540,95.3,1538
99,1550,90.1,1548
99,1560,91.0,1558
99,1570,132.9,1568
99,1580,132.0,1578
99,1590,111.4,1588
99,1600,117.1,1598
99,1610,112.5,1608
99,1620,108.7,1618
99,1630,85.7,1628
99,1640,79.4,1638
99,1650,82.9,1648
99,1660,104.5,1658
99,1670,62.8,1668
99,1680,60.8,1678
99,1690,61.4,1688
99,1700,58.0,1698
99,1710,65.2,1708
99,1720,67.7,1718
99,1730,71.5,1728
99,1740,74.4,1738
99,1750,69.8,1748
99,1760,42.8,1758
99,1770,45.0,1768
99,1780,42.6,1778
99,1790,64.9,1788
99,1800,62.2,1798
99,1810,106.8,1808
99,1820,107.7,1818
99,1830,106.4,1828
99,1840,111.6,1838
99,1850,107.4,1848
99,1860,113.6,1858
99,1870,134.5,1868
99,1880,133.1,1878
99,1890,117.9,1888
99,1900,123.2,1898
99,1910,76.4,1908
99,1920,76.9,1918
99,1930,73.3,1928
99,1940,61.5,1938
99,1950,65.6,1948
99,1960,60.3,1958
99,1970,42.1,1968
99,1980,46.8,1978
99,1990,43.2,1988
99,2000,38.0,1998
99,2010,39.0,2008
